train_loss,val_loss,train_acc,val_acc
0.1979624198811395,0.11149145939258161,0.9293714165687561,0.9594666957855225
0.1128605713222708,0.0862833585747605,0.9584000110626221,0.9698666930198669
0.08859692423673612,0.06735580683581308,0.9675999879837036,0.972266674041748
0.0754759981953672,0.06312598138526374,0.9739999771118164,0.9781333208084106
0.07075537671595812,0.05334648986601678,0.9736571311950684,0.9818666577339172
0.057818839374078175,0.0870909942000412,0.9792571663856506,0.9624000191688538
0.048405149071025,0.026856226731650532,0.9834285974502563,0.9893333315849304
0.05082099574165685,0.01997007158083117,0.9823428392410278,0.9919999837875366
0.03812115024059479,0.07396995543905069,0.9864000082015991,0.974133312702179
0.040517684273588074,0.011120117460321247,0.9855428338050842,0.9968000054359436
0.027876917113031127,0.010302410378427567,0.9897714257240295,0.9957333207130432
0.02939069532595708,0.012115903540951453,0.989885687828064,0.9965333342552185
0.06198444889054767,0.022696977236830087,0.9817143082618713,0.9933333396911621
0.02654487680722294,0.011384264309179465,0.9910857081413269,0.9959999918937683
0.02203438323559905,0.028515651573291445,0.9927428364753723,0.9896000027656555
0.008369234685539934,0.0025307487688180116,0.9975428581237793,0.9991999864578247
0.00625357518198268,0.0020512188365171217,0.9983428716659546,0.9989333152770996
0.005439905820357879,0.001866782632836519,0.9983999729156494,0.9991999864578247
0.00398533468040093,0.0011156953013800376,0.998628556728363,0.9994666576385498
0.0034017560958109765,0.0026929989753113354,0.9993143081665039,0.9991999864578247
0.0038165598694106196,0.0009293161226908069,0.9988571405410767,0.9994666576385498
0.004561597528041291,0.0008855262808236754,0.9981714487075806,0.9994666576385498
0.0029086332164837848,0.0010300218878888624,0.9989143013954163,0.9994666576385498
0.003832532089118987,0.0009240326695012603,0.9985142946243286,0.9997333288192749
0.003409417890939845,0.0010588674379223752,0.9989714026451111,0.9991999864578247
0.0021416643637070334,0.00042295239733070955,0.9993143081665039,1.0
0.0021272083365702463,0.002727296422460313,0.9993143081665039,0.9989333152770996
0.0018636736768539517,0.00017743326014027426,0.9994857311248779,1.0
0.0028612677524404717,0.0010621135182107614,0.9990857243537903,0.9997333288192749
0.004872482308740499,0.0016762937157800025,0.9986857175827026,0.9991999864578247
